Province,Centre,Census Subdivision,Singles,Semis,Row,Apartment and Other,Total
Alta,Calgary,Rocky View County (MD),367,14,30,1,412
Alta,Calgary,Calgary (CY),4146,1200,1837,7584,14767
Alta,Calgary,Chestermere (CY),385,84,131,5,605
Alta,Calgary,Cochrane (T),346,86,79,18,529
Alta,Calgary,Airdrie (CY),449,176,167,142,934
Alta,Calgary,Irricana (T),1,0,0,0,1
Alta,Calgary,Beiseker (VL),0,0,0,0,0
Alta,Calgary,Crossfield (T),58,0,0,0,58
Alta,Calgary,First Nations (Calgary) (R),0,0,0,0,0
Alta,Calgary,Total,5752,1560,2244,7750,17306
Alta,Edmonton,Bruderheim (T),1,0,0,0,1
Alta,Edmonton,Leduc County (MD),60,0,0,1,61
Alta,Edmonton,Beaumont (CY),164,36,23,19,242
Alta,Edmonton,Leduc (CY),221,28,33,49,331
Alta,Edmonton,Devon (T),26,0,0,0,26
Alta,Edmonton,Calmar (T),10,0,0,1,11
Alta,Edmonton,Sundance Beach (SV),1,0,0,0,1
Alta,Edmonton,Thorsby (T),1,0,0,0,1
Alta,Edmonton,Itaska Beach (SV),1,0,0,0,1
Alta,Edmonton,Golden Days (SV),4,0,0,0,4
Alta,Edmonton,Warburg (VL),1,0,0,0,1
Alta,Edmonton,Parkland County (MD),126,0,0,0,126
Alta,Edmonton,Seba Beach (SV),1,0,0,0,1
Alta,Edmonton,Betula Beach (SV),0,0,0,0,0
Alta,Edmonton,Point Alison (SV),0,0,0,0,0
Alta,Edmonton,Lakeview (SV),1,0,0,0,1
Alta,Edmonton,Kapasiwin (SV),0,0,0,0,0
Alta,Edmonton,Spring Lake (VL),3,0,0,0,3
Alta,Edmonton,Stony Plain (T),44,6,67,1,118
Alta,Edmonton,Spruce Grove (CY),260,84,45,180,569
Alta,Edmonton,Strathcona County (SM),182,32,63,669,946
Alta,Edmonton,Fort Saskatchewan (CY),140,54,14,17,225
Alta,Edmonton,Sturgeon County (MD),89,0,0,2,91
Alta,Edmonton,Edmonton (CY),4599,656,1409,4737,11401
Alta,Edmonton,St. Albert (CY),215,50,89,30,384
Alta,Edmonton,Gibbons (T),5,0,0,0,5
Alta,Edmonton,Redwater (T),1,0,0,0,1
Alta,Edmonton,Bon Accord (T),0,0,0,0,0
Alta,Edmonton,Morinville (T),17,10,4,4,35
Alta,Edmonton,Legal (T),0,0,0,0,0
Alta,Edmonton,First Nations (Edmonton) (R),0,0,0,0,0
Alta,Edmonton,Total,6173,956,1747,5710,14586
Alta,Lethbridge,Lethbridge County (MD),31,0,0,0,31
Alta,Lethbridge,Lethbridge (CY),198,42,138,373,751
Alta,Lethbridge,Coalhurst (T),4,2,3,0,9
Alta,Lethbridge,Nobleford (VL),1,0,0,0,1
Alta,Lethbridge,Barons (VL),0,0,0,0,0
Alta,Lethbridge,Picture Butte (T),3,2,0,0,5
Alta,Lethbridge,Coaldale (T),10,0,9,0,19
